id,input,expected_label,slice,difficulty
sample-54,"{""text"": ""Example 54: an ambiguous but still positive message for the edge_case slice."", ""label"": ""positive"", ""slice_hint"": ""edge_case""}",positive,edge_case,4
sample-55,"{""text"": ""Example 55: an ambiguous but still negative message for the edge_case slice."", ""label"": ""negative"", ""slice_hint"": ""edge_case""}",negative,edge_case,4
sample-56,"{""text"": ""Example 56: an ambiguous but still negative message for the edge_case slice."", ""label"": ""negative"", ""slice_hint"": ""edge_case""}",negative,edge_case,4
sample-57,"{""text"": ""Example 57: an ambiguous but still positive message for the edge_case slice."", ""label"": ""positive"", ""slice_hint"": ""edge_case""}",positive,edge_case,4
sample-58,"{""text"": ""Example 58: an ambiguous but still negative message for the edge_case slice."", ""label"": ""negative"", ""slice_hint"": ""edge_case""}",negative,edge_case,4
sample-59,"{""text"": ""Example 59: an ambiguous but still negative message for the edge_case slice."", ""label"": ""negative"", ""slice_hint"": ""edge_case""}",negative,edge_case,4
sample-60,"{""text"": ""Example 60: an ambiguous but still positive message for the edge_case slice."", ""label"": ""positive"", ""slice_hint"": ""edge_case""}",positive,edge_case,4
sample-61,"{""text"": ""Example 61: an ambiguous but still positive message for the edge_case slice."", ""label"": ""positive"", ""slice_hint"": ""edge_case""}",positive,edge_case,4
sample-62,"{""text"": ""Example 62: an ambiguous but still positive message for the edge_case slice."", ""label"": ""positive"", ""slice_hint"": ""edge_case""}",positive,edge_case,4
sample-63,"{""text"": ""Example 63: an ambiguous but still positive message for the edge_case slice."", ""label"": ""positive"", ""slice_hint"": ""edge_case""}",positive,edge_case,4
sample-64,"{""text"": ""Example 64: an ambiguous but still negative message for the edge_case slice."", ""label"": ""negative"", ""slice_hint"": ""edge_case""}",negative,edge_case,4
sample-65,"{""text"": ""Example 65: an ambiguous but still negative message for the edge_case slice."", ""label"": ""negative"", ""slice_hint"": ""edge_case""}",negative,edge_case,4
